id;title;info;start_date;google_map_url
1;Investor Designer withdrawal;Cambridgeshire;2021-02-20;Curve Ergonomic Frozen Soap AI
2;Sports navigating Direct;technologies;2021-02-20;South Carolina proactive Buckinghamshire
3;product;static;2021-02-20;Djibouti Franc
4;Gorgeous Sleek digital;connecting;2021-02-20;Loaf
5;reboot navigating;invoice iterate;2021-02-20;Village Credit Card Account
6;connect Kenya;mint green violet Auto Loan Account;2021-02-21;Handcrafted
7;driver model payment;Business-focused Roads Handmade Steel Chicken;2021-02-20;Bike
8;grey Turnpike convergence;applications card;2021-02-20;web-readiness sticky
9;Toys Soft calculate;Parkway website overriding;2021-02-20;Plaza incubate
10;payment innovative RSS;Oman feed hybrid;2021-02-20;Turkish Lira Mobility
