id;payment_date;payment_provider;amount;payment_status;curency;customer_name;is_enough;is_confirmed
1;2021-02-20T20:16:05;Home Loan Account;35742;PAID;Checking Account;Music;false;false
2;2021-02-20T19:44:53;solid state Buckinghamshire;20680;PAID;Wooden matrix Infrastructure;Accountability;true;false
3;2021-02-20T17:00:00;moratorium;13397;PENDING;syndicate;payment;true;false
4;2021-02-20T16:50:02;system engine Pre-emptive;12291;PENDING;haptic;Key;false;false
5;2021-02-20T06:20:15;Nigeria compressing leading edge;89274;PAID;task-force Legacy;Usability Comoros;true;true
6;2021-02-20T10:56:45;AI;67751;REFUNDED;GB synergies;Slovenia;false;false
7;2021-02-20T15:08:00;SDD Reunion;93858;REFUNDED;incubate Ameliorated;Technician Pizza;true;false
8;2021-02-20T14:01:36;Accountability Cedi;80428;CANCELLED;multi-state Table;South Carolina discrete;false;true
9;2021-02-20T09:36:43;Intelligent Rubber Chair wireless Intelligent;48318;PAID;Intelligent Frozen Shirt deposit;incubate;true;true
10;2021-02-20T05:07:52;metrics Russian Federation lime;59303;FAILED;Salad Incredible Handmade;reboot;true;false
